experiment,fm,f1,accuracy,auroc,n_test,span,recall_<0.1ha,recall_0.1-0.3ha,recall_0.3-0.5ha,recall_0.5-1ha,recall_>1ha,n_<0.1ha,n_0.1-0.3ha,n_0.3-0.5ha,n_0.5-1ha,n_>1ha
Nepal_baseline_MLP,anysat,0.680845148735057,0.6694024478041757,0.7280858246138515,6945,0.06133408705483323,0.7176015473887815,0.7181738366988587,0.7355555555555555,0.7096018735362998,0.770935960591133,517,1139,450,427,812
Nepal_scalepool_MLP,clay-v1,0.7051242712488494,0.7232541396688265,0.8176345291479821,6945,0.5734199769416204,0.8936170212765957,0.8340649692712906,0.7666666666666667,0.65807962529274,0.32019704433497537,517,1139,450,427,812
Nepal_scalepool_MLP,prithvi-eo-2.0-300m,0.7608286252354048,0.7622750179985601,0.8462215163594088,6945,0.1195510285752398,0.8239845261121856,0.810359964881475,0.8022222222222222,0.8056206088992974,0.7044334975369458,517,1139,450,427,812
Nepal_scalepool_MLP,terramind-v1-base,0.7813459927394583,0.7745140388768899,0.857947849194486,6945,0.1408061857438233,0.8858800773694391,0.8709394205443372,0.8466666666666667,0.8477751756440282,0.7450738916256158,517,1139,450,427,812
Nepal_scalepool_MLP,anysat,0.680845148735057,0.6694024478041757,0.7280858246138515,6945,0.06133408705483323,0.7176015473887815,0.7181738366988587,0.7355555555555555,0.7096018735362998,0.770935960591133,517,1139,450,427,812
Nepal_scalepool_torch,clay-v1,0.9276032039433149,0.9323254139668826,0.975380543099153,6945,0.35597189695550346,1.0,0.9991220368744512,0.9466666666666667,0.6440281030444965,0.8066502463054187,517,1139,450,427,812
Nepal_scalepool_torch,prithvi-eo-2.0-300m,0.8323126275882181,0.8344132469402448,0.9227419863809998,6945,0.1365606838226301,0.9187620889748549,0.8920105355575065,0.8377777777777777,0.7822014051522248,0.8029556650246306,517,1139,450,427,812
Nepal_scalepool_torch,terramind-v1-base,0.8379116927944772,0.8377249820014399,0.9249960969938549,6945,0.1238911492029614,0.9342359767891683,0.9051799824407375,0.8577777777777778,0.8313817330210773,0.8103448275862069,517,1139,450,427,812
Nepal_scalepool_torch,anysat,0.7010862619808307,0.6632109431245501,0.7309169157947185,6945,0.055963821368004485,0.8085106382978723,0.8050921861281826,0.8355555555555556,0.7962529274004684,0.8522167487684729,517,1139,450,427,812
Nepal_centerpool,clay-v1,0.6452424200083834,0.6344132469402448,0.6942989121408404,6945,0.06373882543238596,0.6924564796905223,0.6628621597892889,0.7155555555555555,0.6651053864168618,0.7266009852216748,517,1139,450,427,812
Nepal_centerpool,prithvi-eo-2.0-300m,0.7329385222786238,0.7272858171346293,0.8009653712007971,6945,0.09468161943109721,0.7485493230174082,0.742756804214223,0.7666666666666667,0.7985948477751756,0.8374384236453202,517,1139,450,427,812
Nepal_centerpool,terramind-v1-base,0.7528432732316227,0.7434125269978402,0.8147481315396113,6945,0.09171422854474942,0.7678916827852998,0.7848990342405618,0.8177777777777778,0.8360655737704918,0.8596059113300493,517,1139,450,427,812
Nepal_centerpool,anysat,0.6848865810330691,0.6679625629949604,0.7336158860654376,6945,0.06807674176206768,0.7369439071566731,0.7225636523266022,0.7622222222222222,0.7423887587822015,0.7906403940886699,517,1139,450,427,812
India_baseline_mean,clay-v1,0.601980198019802,0.6827985270910047,0.7260390427879464,5703,0.06493030080704332,0.6305732484076433,0.6212765957446809,0.6798561151079137,0.6862068965517242,0.6552380952380953,314,705,278,290,525
India_baseline_mean,prithvi-eo-2.0-300m,0.654257595207531,0.7166403647203227,0.7930252820603697,5703,0.11847133757961792,0.6815286624203821,0.7148936170212766,0.7805755395683454,0.8,0.6895238095238095,314,705,278,290,525
India_baseline_mean,terramind-v1-base,0.6662326388888888,0.7303173768192179,0.8044535264930003,5703,0.10707226004831982,0.6687898089171974,0.724822695035461,0.762589928057554,0.7758620689655172,0.7180952380952381,314,705,278,290,525
India_baseline_mean,anysat,0.6328191945158527,0.6994564264422234,0.7691657858872771,5703,0.09574760573706642,0.6560509554140127,0.6921985815602837,0.7517985611510791,0.7068965517241379,0.7028571428571428,314,705,278,290,525
India_scalepool,clay-v1,0.5572116487044256,0.6614062773978607,0.6919163570753484,5703,0.056685685934011354,0.554140127388535,0.577304964539007,0.5467625899280576,0.603448275862069,0.5847619047619048,314,705,278,290,525
India_scalepool,prithvi-eo-2.0-300m,0.6316256376136615,0.7087497808171138,0.7725422826848265,5703,0.16390473827834284,0.6273885350318471,0.649645390070922,0.6223021582733813,0.7862068965517242,0.700952380952381,314,705,278,290,525
India_scalepool,terramind-v1-base,0.638925583443417,0.7124320533052779,0.78171016767508,5703,0.06935960591133006,0.678343949044586,0.6865248226950355,0.6798561151079137,0.7379310344827587,0.6685714285714286,314,705,278,290,525
India_scalepool,anysat,0.6328191945158527,0.6994564264422234,0.7691657858872771,5703,0.09574760573706642,0.6560509554140127,0.6921985815602837,0.7517985611510791,0.7068965517241379,0.7028571428571428,314,705,278,290,525
Mozambique_baseline_mean,clay-v1,0.7976517230863068,0.6866587957497048,0.5952349580292492,8470,0.030752780153977755,0.8509485094850948,0.8401287553648069,0.8335329341317366,0.8642857142857143,0.8630849220103987,738,1864,835,980,1731
Mozambique_baseline_mean,prithvi-eo-2.0-300m,0.7724038692141658,0.6638724911452184,0.597367014167335,8470,0.07566496123870114,0.7791327913279132,0.7762875536480687,0.7544910179640718,0.7571428571428571,0.830155979202773,738,1864,835,980,1731
Mozambique_baseline_mean,terramind-v1-base,0.782774814932739,0.6778040141676506,0.6112369196904157,8470,0.05431091572614166,0.7764227642276422,0.7956008583690987,0.7868263473053893,0.7816326530612245,0.8307336799537839,738,1864,835,980,1731
Mozambique_baseline_mean,anysat,0.8326996197718631,0.7298701298701299,0.5790831608719067,8470,0.029073398267842054,0.9295392953929539,0.9404506437768241,0.911377245508982,0.926530612244898,0.9162333911034084,738,1864,835,980,1731
Mozambique_scalepool,clay-v1,0.783303730017762,0.6831168831168831,0.6016003047425631,8470,0.032747082572866515,0.8102981029810298,0.7864806866952789,0.7892215568862275,0.7775510204081633,0.7891392258809936,738,1864,835,980,1731
Mozambique_scalepool,prithvi-eo-2.0-300m,0.7595916351062078,0.6552538370720189,0.6101440101946979,8470,0.10117512786912963,0.7926829268292683,0.7784334763948498,0.7820359281437126,0.7418367346938776,0.6915077989601387,738,1864,835,980,1731
Mozambique_scalepool,terramind-v1-base,0.7713404738721195,0.6672963400236127,0.6159131321180618,8470,0.06964346939829891,0.8021680216802168,0.8009656652360515,0.7916167664670659,0.7540816326530613,0.7325245522819179,738,1864,835,980,1731
Mozambique_scalepool,anysat,0.8326996197718631,0.7298701298701299,0.5790831608719067,8470,0.029073398267842054,0.9295392953929539,0.9404506437768241,0.911377245508982,0.926530612244898,0.9162333911034084,738,1864,835,980,1731
Trees_Nepal_baseline_mean,clay-v1,0.7622743377762781,0.683726150392817,0.7055796333165879,8910,0.14673154362416108,0.688,0.7201301720130172,0.7625145518044237,0.8074324324324325,0.834731543624161,875,2151,859,888,1192
Trees_Nepal_baseline_mean,prithvi-eo-2.0-300m,0.8101835815725666,0.7539842873176207,0.8061321489105236,8910,0.09632432432432436,0.728,0.7694095769409577,0.7869615832363213,0.8243243243243243,0.8204697986577181,875,2151,859,888,1192
Trees_Nepal_baseline_mean,terramind-v1-base,0.8144905142072281,0.7574635241301908,0.8111582419803125,8910,0.10965379665379671,0.7405714285714285,0.7791724779172478,0.79976717112922,0.8502252252252253,0.8204697986577181,875,2151,859,888,1192
Trees_Nepal_baseline_mean,anysat,0.8154533844189017,0.7405162738496072,0.7239552454399389,8910,0.08278249678249683,0.8068571428571428,0.8433286843328685,0.869615832363213,0.8896396396396397,0.8817114093959731,875,2151,859,888,1192
